2026-07-15 11:21:23,282 - ============================================================
2026-07-15 11:21:23,284 - Barkley Tracker 啟動
2026-07-15 11:21:23,284 - Log 檔案：logs\barkley_20260715_112123.log
2026-07-15 11:21:23,284 - ============================================================
2026-07-15 11:21:32,550 - YOLO pose 模型：成功載入 OpenVINO 格式（優先使用 GPU，由環境變數控制）
2026-07-15 11:21:32,648 - 書籍分類 - OpenVINO 可用裝置: ['CPU', 'GPU']
2026-07-15 11:21:32,659 - 書籍分類 - 設定裝置: GPU
2026-07-15 11:21:35,999 - 書籍分類模型：✓ GPU.0 編譯成功，使用 Intel GPU (Iris Xe)
2026-07-15 11:21:36,422 - YOLO - OpenVINO 可用裝置: ['CPU', 'GPU']
2026-07-15 11:21:36,424 - YOLO - 設定裝置: GPU
2026-07-15 11:21:44,070 - YOLO - ✓ GPU.0 編譯成功，推論使用 Intel GPU (Iris Xe)
2026-07-15 11:24:14,385 - Pose: 1 persons | Book: no_book: 0.9955, book_1: 0.0011, book_2: 0.0008, book_3: 0.0026 | Sitting: P0:sitting
2026-07-15 11:24:16,484 - Pose: 0 persons | Book: no_book: 0.9902, book_1: 0.0024, book_2: 0.0019, book_3: 0.0056 | Sitting: N/A
2026-07-15 11:24:18,528 - Pose: 0 persons | Book: no_book: 0.9906, book_1: 0.0025, book_2: 0.0020, book_3: 0.0049 | Sitting: N/A
2026-07-15 11:24:20,558 - Pose: 0 persons | Book: no_book: 0.9912, book_1: 0.0021, book_2: 0.0019, book_3: 0.0047 | Sitting: N/A
2026-07-15 11:24:22,582 - Pose: 0 persons | Book: no_book: 0.9908, book_1: 0.0022, book_2: 0.0020, book_3: 0.0050 | Sitting: N/A
2026-07-15 11:24:24,642 - Pose: 0 persons | Book: no_book: 0.9932, book_1: 0.0016, book_2: 0.0014, book_3: 0.0038 | Sitting: N/A
2026-07-15 11:24:26,711 - Pose: 0 persons | Book: no_book: 0.9888, book_1: 0.0035, book_2: 0.0027, book_3: 0.0050 | Sitting: N/A
2026-07-15 11:24:28,751 - Pose: 0 persons | Book: no_book: 0.9945, book_1: 0.0014, book_2: 0.0009, book_3: 0.0032 | Sitting: N/A
2026-07-15 11:24:30,822 - Pose: 0 persons | Book: no_book: 0.9935, book_1: 0.0019, book_2: 0.0012, book_3: 0.0034 | Sitting: N/A
2026-07-15 11:24:32,843 - Pose: 0 persons | Book: no_book: 0.9932, book_1: 0.0018, book_2: 0.0013, book_3: 0.0037 | Sitting: N/A
2026-07-15 11:24:34,904 - Pose: 0 persons | Book: no_book: 0.9937, book_1: 0.0016, book_2: 0.0012, book_3: 0.0035 | Sitting: N/A
2026-07-15 11:24:36,943 - Pose: 0 persons | Book: no_book: 0.9918, book_1: 0.0020, book_2: 0.0017, book_3: 0.0044 | Sitting: N/A
2026-07-15 11:24:39,002 - Pose: 0 persons | Book: no_book: 0.9932, book_1: 0.0015, book_2: 0.0012, book_3: 0.0040 | Sitting: N/A
2026-07-15 11:24:41,036 - Pose: 0 persons | Book: no_book: 0.9926, book_1: 0.0024, book_2: 0.0016, book_3: 0.0034 | Sitting: N/A
2026-07-15 11:24:43,058 - Pose: 0 persons | Book: no_book: 0.9968, book_1: 0.0008, book_2: 0.0005, book_3: 0.0019 | Sitting: N/A
2026-07-15 11:24:45,114 - Pose: 0 persons | Book: no_book: 0.9883, book_1: 0.0029, book_2: 0.0028, book_3: 0.0059 | Sitting: N/A
2026-07-15 11:24:47,173 - Pose: 0 persons | Book: no_book: 0.9958, book_1: 0.0012, book_2: 0.0009, book_3: 0.0022 | Sitting: N/A
2026-07-15 11:24:49,204 - Pose: 0 persons | Book: no_book: 0.9918, book_1: 0.0024, book_2: 0.0017, book_3: 0.0041 | Sitting: N/A
2026-07-15 11:24:51,231 - Pose: 0 persons | Book: no_book: 0.9793, book_1: 0.0054, book_2: 0.0049, book_3: 0.0104 | Sitting: N/A
2026-07-15 11:24:53,254 - Pose: 0 persons | Book: no_book: 0.9930, book_1: 0.0018, book_2: 0.0012, book_3: 0.0040 | Sitting: N/A
2026-07-15 11:24:55,307 - Pose: 0 persons | Book: no_book: 0.9912, book_1: 0.0024, book_2: 0.0018, book_3: 0.0045 | Sitting: N/A
2026-07-15 11:24:57,407 - Pose: 0 persons | Book: no_book: 0.9945, book_1: 0.0015, book_2: 0.0010, book_3: 0.0029 | Sitting: N/A
2026-07-15 11:24:59,475 - Pose: 0 persons | Book: no_book: 0.9910, book_1: 0.0023, book_2: 0.0019, book_3: 0.0048 | Sitting: N/A
2026-07-15 11:25:01,500 - Pose: 0 persons | Book: no_book: 0.9909, book_1: 0.0025, book_2: 0.0019, book_3: 0.0046 | Sitting: N/A
2026-07-15 11:25:03,532 - Pose: 0 persons | Book: no_book: 0.9937, book_1: 0.0018, book_2: 0.0012, book_3: 0.0033 | Sitting: N/A
2026-07-15 11:25:05,617 - Pose: 0 persons | Book: no_book: 0.9931, book_1: 0.0017, book_2: 0.0014, book_3: 0.0038 | Sitting: N/A
2026-07-15 11:25:07,770 - Pose: 0 persons | Book: no_book: 0.9956, book_1: 0.0012, book_2: 0.0009, book_3: 0.0024 | Sitting: N/A
2026-07-15 11:25:09,817 - Pose: 0 persons | Book: no_book: 0.9958, book_1: 0.0010, book_2: 0.0007, book_3: 0.0025 | Sitting: N/A
2026-07-15 11:25:11,823 - Pose: 0 persons | Book: no_book: 0.9884, book_1: 0.0028, book_2: 0.0028, book_3: 0.0060 | Sitting: N/A
2026-07-15 11:25:13,867 - Pose: 0 persons | Book: no_book: 0.9944, book_1: 0.0016, book_2: 0.0011, book_3: 0.0029 | Sitting: N/A
2026-07-15 11:25:15,932 - Pose: 1 persons | Book: no_book: 0.9925, book_1: 0.0018, book_2: 0.0014, book_3: 0.0043 | Sitting: P0:sitting
2026-07-15 11:25:18,106 - Pose: 0 persons | Book: no_book: 0.9955, book_1: 0.0011, book_2: 0.0009, book_3: 0.0025 | Sitting: N/A
2026-07-15 11:25:20,273 - Pose: 0 persons | Book: no_book: 0.9936, book_1: 0.0016, book_2: 0.0012, book_3: 0.0036 | Sitting: N/A
2026-07-15 11:25:22,426 - Pose: 0 persons | Book: no_book: 0.9927, book_1: 0.0017, book_2: 0.0015, book_3: 0.0041 | Sitting: N/A
2026-07-15 11:25:24,597 - Pose: 0 persons | Book: no_book: 0.9924, book_1: 0.0019, book_2: 0.0012, book_3: 0.0045 | Sitting: N/A
2026-07-15 11:25:26,767 - Pose: 0 persons | Book: no_book: 0.9920, book_1: 0.0020, book_2: 0.0017, book_3: 0.0043 | Sitting: N/A
2026-07-15 11:25:28,936 - Pose: 0 persons | Book: no_book: 0.9937, book_1: 0.0018, book_2: 0.0012, book_3: 0.0032 | Sitting: N/A
2026-07-15 11:25:30,948 - Pose: 0 persons | Book: no_book: 0.9934, book_1: 0.0020, book_2: 0.0015, book_3: 0.0031 | Sitting: N/A
2026-07-15 11:25:33,126 - Pose: 0 persons | Book: no_book: 0.9924, book_1: 0.0021, book_2: 0.0013, book_3: 0.0043 | Sitting: N/A
2026-07-15 11:25:35,128 - Pose: 0 persons | Book: no_book: 0.9954, book_1: 0.0013, book_2: 0.0008, book_3: 0.0025 | Sitting: N/A
2026-07-15 11:25:37,285 - Pose: 0 persons | Book: no_book: 0.9912, book_1: 0.0026, book_2: 0.0018, book_3: 0.0044 | Sitting: N/A
2026-07-15 11:25:39,286 - Pose: 0 persons | Book: no_book: 0.9937, book_1: 0.0015, book_2: 0.0014, book_3: 0.0034 | Sitting: N/A
2026-07-15 11:25:41,449 - Pose: 0 persons | Book: no_book: 0.9961, book_1: 0.0009, book_2: 0.0006, book_3: 0.0024 | Sitting: N/A
2026-07-15 11:25:43,455 - Pose: 0 persons | Book: no_book: 0.9955, book_1: 0.0013, book_2: 0.0009, book_3: 0.0023 | Sitting: N/A
2026-07-15 11:25:45,459 - Pose: 0 persons | Book: no_book: 0.9930, book_1: 0.0020, book_2: 0.0015, book_3: 0.0035 | Sitting: N/A
2026-07-15 11:25:47,636 - Pose: 0 persons | Book: no_book: 0.9928, book_1: 0.0017, book_2: 0.0013, book_3: 0.0042 | Sitting: N/A
2026-07-15 11:25:49,657 - Pose: 0 persons | Book: no_book: 0.9909, book_1: 0.0025, book_2: 0.0021, book_3: 0.0046 | Sitting: N/A
2026-07-15 11:25:51,828 - Pose: 0 persons | Book: no_book: 0.9930, book_1: 0.0016, book_2: 0.0013, book_3: 0.0040 | Sitting: N/A
2026-07-15 11:25:53,831 - Pose: 0 persons | Book: no_book: 0.9924, book_1: 0.0022, book_2: 0.0016, book_3: 0.0037 | Sitting: N/A
2026-07-15 11:25:55,996 - Pose: 0 persons | Book: no_book: 0.9959, book_1: 0.0010, book_2: 0.0007, book_3: 0.0024 | Sitting: N/A
2026-07-15 11:25:58,165 - Pose: 0 persons | Book: no_book: 0.9953, book_1: 0.0012, book_2: 0.0008, book_3: 0.0027 | Sitting: N/A
2026-07-15 11:26:00,336 - Pose: 0 persons | Book: no_book: 0.9932, book_1: 0.0019, book_2: 0.0015, book_3: 0.0034 | Sitting: N/A
2026-07-15 11:26:02,354 - Pose: 0 persons | Book: no_book: 0.9959, book_1: 0.0009, book_2: 0.0006, book_3: 0.0025 | Sitting: N/A
2026-07-15 11:26:04,528 - Pose: 2 persons | Book: no_book: 0.9907, book_1: 0.0028, book_2: 0.0024, book_3: 0.0041 | Sitting: P0:sitting, P1:not_sitting
2026-07-15 11:26:06,529 - Pose: 1 persons | Book: no_book: 0.9948, book_1: 0.0015, book_2: 0.0010, book_3: 0.0027 | Sitting: P0:sitting
2026-07-15 11:26:08,557 - Pose: 1 persons | Book: no_book: 0.9944, book_1: 0.0015, book_2: 0.0011, book_3: 0.0030 | Sitting: P0:not_sitting
2026-07-15 11:26:10,639 - Pose: 1 persons | Book: no_book: 0.9918, book_1: 0.0022, book_2: 0.0016, book_3: 0.0043 | Sitting: P0:sitting
2026-07-15 11:26:12,877 - Pose: 1 persons | Book: no_book: 0.9961, book_1: 0.0010, book_2: 0.0008, book_3: 0.0021 | Sitting: P0:not_sitting
